Temp,RAWCP(Data1),RAWCP(Data2),RAWCP(Data3),RAWCP(Data4),RAWCP(Data5),RAWCP(Data6),scan1(DATA1-DATA2),scan2,scan3
11.86839,-0.56183,-0.51778,-0.60875,-0.52336,-0.69098,-0.53023,-0.04405,-0.08539,-0.16075
12.07615,-0.5647,-0.52233,-0.61406,-0.5263,-0.69477,-0.53311,-0.04237,-0.08776,-0.16166
12.28463,-0.56581,-0.52419,-0.61616,-0.52751,-0.69624,-0.53425,-0.04162,-0.08865,-0.16199
12.49455,-0.56614,-0.52491,-0.61691,-0.52794,-0.69667,-0.53463,-0.04123,-0.08897,-0.16204
12.70568,-0.56609,-0.5251,-0.61704,-0.52801,-0.69658,-0.53465,-0.04099,-0.08903,-0.16193
12.91664,-0.56593,-0.52506,-0.61689,-0.52791,-0.69631,-0.53456,-0.04087,-0.08898,-0.16175
13.1224,-0.56573,-0.52494,-0.61665,-0.52782,-0.69602,-0.5344,-0.04079,-0.08883,-0.16162
13.33168,-0.56546,-0.52476,-0.61636,-0.52764,-0.69563,-0.5342,-0.0407,-0.08872,-0.16143
13.54134,-0.56522,-0.52456,-0.61602,-0.52751,-0.69523,-0.534,-0.04066,-0.08851,-0.16123
13.75142,-0.56496,-0.5244,-0.61573,-0.52736,-0.69483,-0.53378,-0.04056,-0.08837,-0.16105
13.96065,-0.56465,-0.52419,-0.6154,-0.52716,-0.69441,-0.53354,-0.04046,-0.08824,-0.16087
14.17075,-0.56439,-0.52396,-0.61505,-0.52703,-0.69403,-0.53332,-0.04043,-0.08802,-0.16071
14.38293,-0.56414,-0.52378,-0.61474,-0.52687,-0.69368,-0.53309,-0.04036,-0.08787,-0.16059
14.59333,-0.56381,-0.52358,-0.61437,-0.52666,-0.69325,-0.53283,-0.04023,-0.08771,-0.16042
14.80052,-0.56353,-0.52338,-0.61403,-0.52651,-0.69286,-0.53262,-0.04015,-0.08752,-0.16024
15.00848,-0.56322,-0.52317,-0.61371,-0.52635,-0.69247,-0.53241,-0.04005,-0.08736,-0.16006
15.21561,-0.5629,-0.52295,-0.61335,-0.52614,-0.69205,-0.53214,-0.03995,-0.08721,-0.15991
15.42305,-0.56261,-0.52272,-0.613,-0.52597,-0.69163,-0.5319,-0.03989,-0.08703,-0.15973
15.63138,-0.56229,-0.52251,-0.61268,-0.52575,-0.6912,-0.53162,-0.03978,-0.08693,-0.15958
15.83979,-0.562,-0.52226,-0.61229,-0.52556,-0.69075,-0.53135,-0.03974,-0.08673,-0.1594
16.04845,-0.56172,-0.52205,-0.61195,-0.52535,-0.69034,-0.53106,-0.03967,-0.0866,-0.15928
16.25611,-0.56135,-0.5218,-0.61158,-0.52507,-0.6899,-0.53078,-0.03955,-0.08651,-0.15912
16.46388,-0.56101,-0.52159,-0.61121,-0.52484,-0.68947,-0.53054,-0.03942,-0.08637,-0.15893
16.67309,-0.56063,-0.52137,-0.61083,-0.52459,-0.68901,-0.53026,-0.03926,-0.08624,-0.15875
16.88259,-0.56028,-0.5211,-0.61042,-0.52431,-0.68858,-0.53,-0.03918,-0.08611,-0.15858
17.0905,-0.55995,-0.52086,-0.61006,-0.52407,-0.68819,-0.52972,-0.03909,-0.08599,-0.15847
17.30016,-0.55957,-0.52059,-0.60965,-0.5238,-0.68776,-0.52941,-0.03898,-0.08585,-0.15835
17.50856,-0.55924,-0.52035,-0.60926,-0.52354,-0.68731,-0.52915,-0.03889,-0.08572,-0.15816
17.71823,-0.55887,-0.52013,-0.60885,-0.52327,-0.68687,-0.52885,-0.03874,-0.08558,-0.15802
17.9268,-0.55857,-0.51986,-0.60842,-0.52304,-0.68644,-0.52859,-0.03871,-0.08538,-0.15785
18.13575,-0.55826,-0.51965,-0.60804,-0.52284,-0.68604,-0.52832,-0.03861,-0.0852,-0.15772
18.34481,-0.55793,-0.5194,-0.60766,-0.52259,-0.68558,-0.52803,-0.03853,-0.08507,-0.15755
18.55069,-0.55761,-0.51919,-0.60729,-0.52237,-0.68517,-0.52778,-0.03842,-0.08492,-0.15739
18.75569,-0.55729,-0.51895,-0.60688,-0.52211,-0.68471,-0.52748,-0.03834,-0.08477,-0.15723
18.96409,-0.55699,-0.51869,-0.60645,-0.52189,-0.68431,-0.52723,-0.0383,-0.08456,-0.15708
19.17358,-0.55665,-0.51845,-0.60608,-0.52163,-0.68385,-0.52695,-0.0382,-0.08445,-0.1569
19.38267,-0.55633,-0.51816,-0.60566,-0.5214,-0.68338,-0.52667,-0.03817,-0.08426,-0.15671
19.59252,-0.55601,-0.51793,-0.6053,-0.52117,-0.68296,-0.52639,-0.03808,-0.08413,-0.15657
19.80191,-0.5557,-0.51768,-0.60486,-0.52094,-0.68252,-0.52613,-0.03802,-0.08392,-0.15639
20.01051,-0.5554,-0.51746,-0.60451,-0.52072,-0.68213,-0.52588,-0.03794,-0.08379,-0.15625
20.21845,-0.55505,-0.51718,-0.60412,-0.52045,-0.68165,-0.5256,-0.03787,-0.08367,-0.15605
20.42673,-0.55474,-0.51694,-0.60372,-0.52023,-0.68124,-0.52533,-0.0378,-0.08349,-0.15591
20.63703,-0.5544,-0.51668,-0.6033,-0.51995,-0.68078,-0.52502,-0.03772,-0.08335,-0.15576
20.84615,-0.55412,-0.51641,-0.60291,-0.51971,-0.68036,-0.52478,-0.03771,-0.0832,-0.15558
21.05666,-0.55375,-0.51617,-0.60253,-0.51948,-0.67992,-0.52452,-0.03758,-0.08305,-0.1554
21.26702,-0.55346,-0.51595,-0.60213,-0.51927,-0.67947,-0.52426,-0.03751,-0.08286,-0.15521
21.47415,-0.55313,-0.51574,-0.60178,-0.51902,-0.679,-0.52396,-0.03739,-0.08276,-0.15504
21.68362,-0.55283,-0.51547,-0.60135,-0.5188,-0.67856,-0.52369,-0.03736,-0.08255,-0.15487
21.8919,-0.55251,-0.51524,-0.60099,-0.51858,-0.67812,-0.52337,-0.03727,-0.08241,-0.15475
22.10212,-0.5522,-0.515,-0.60061,-0.51834,-0.6777,-0.5231,-0.0372,-0.08227,-0.1546
22.31131,-0.55191,-0.51477,-0.60027,-0.51812,-0.67727,-0.52283,-0.03714,-0.08215,-0.15444
22.51583,-0.55161,-0.51455,-0.59989,-0.5179,-0.67683,-0.52253,-0.03706,-0.08199,-0.1543
22.72369,-0.55132,-0.51433,-0.59956,-0.51766,-0.67641,-0.52226,-0.03699,-0.0819,-0.15415
22.93191,-0.55105,-0.5141,-0.59919,-0.51745,-0.67598,-0.52202,-0.03695,-0.08174,-0.15396
23.14024,-0.55075,-0.51392,-0.59884,-0.51723,-0.67554,-0.52176,-0.03683,-0.08161,-0.15378
23.34852,-0.55048,-0.51367,-0.59847,-0.517,-0.6751,-0.52151,-0.03681,-0.08147,-0.15359
23.55852,-0.55018,-0.51345,-0.59812,-0.51679,-0.6747,-0.52123,-0.03673,-0.08133,-0.15347
23.76647,-0.54991,-0.5132,-0.59773,-0.5166,-0.67429,-0.52097,-0.03671,-0.08113,-0.15332
23.97469,-0.54961,-0.51299,-0.59736,-0.51638,-0.6739,-0.52074,-0.03662,-0.08098,-0.15316
24.1848,-0.54933,-0.51275,-0.59696,-0.51617,-0.67349,-0.52048,-0.03658,-0.08079,-0.15301
24.39417,-0.54904,-0.51255,-0.59659,-0.51593,-0.6731,-0.52025,-0.03649,-0.08066,-0.15285
24.60302,-0.54875,-0.51231,-0.59623,-0.5157,-0.67269,-0.52002,-0.03644,-0.08053,-0.15267
24.81129,-0.54845,-0.5121,-0.59587,-0.51548,-0.67227,-0.51979,-0.03635,-0.08039,-0.15248
25.01997,-0.54816,-0.51184,-0.59552,-0.51526,-0.67185,-0.51956,-0.03632,-0.08026,-0.15229
25.2274,-0.54788,-0.51163,-0.59517,-0.51504,-0.67142,-0.51931,-0.03625,-0.08013,-0.15211
25.43707,-0.54759,-0.51141,-0.59482,-0.5148,-0.671,-0.51909,-0.03618,-0.08002,-0.15191
25.64672,-0.54731,-0.51119,-0.59447,-0.51455,-0.67058,-0.51887,-0.03612,-0.07992,-0.15171
25.85541,-0.54705,-0.51097,-0.5941,-0.51432,-0.67017,-0.51868,-0.03608,-0.07978,-0.15149
26.06296,-0.54676,-0.51077,-0.59377,-0.51409,-0.66976,-0.51847,-0.03599,-0.07968,-0.15129
26.26964,-0.54653,-0.51056,-0.59345,-0.5139,-0.66936,-0.51829,-0.03597,-0.07955,-0.15107
26.474,-0.54625,-0.51035,-0.59312,-0.51368,-0.66894,-0.51807,-0.0359,-0.07944,-0.15087
26.68166,-0.54601,-0.51016,-0.59282,-0.51347,-0.66854,-0.51789,-0.03585,-0.07935,-0.15065
26.89005,-0.54576,-0.50996,-0.5925,-0.51323,-0.66811,-0.51771,-0.0358,-0.07927,-0.1504
27.09864,-0.5455,-0.50975,-0.59219,-0.51298,-0.66771,-0.51753,-0.03575,-0.07921,-0.15018
27.3079,-0.54526,-0.50957,-0.59183,-0.51277,-0.66729,-0.51736,-0.03569,-0.07906,-0.14993
27.51743,-0.545,-0.50936,-0.59151,-0.51254,-0.66687,-0.51716,-0.03564,-0.07897,-0.14971
27.7254,-0.54479,-0.50915,-0.59119,-0.51233,-0.66648,-0.51698,-0.03564,-0.07886,-0.1495
27.93335,-0.54453,-0.50897,-0.5909,-0.5121,-0.66607,-0.51681,-0.03556,-0.0788,-0.14926
28.14361,-0.54431,-0.50882,-0.5906,-0.51191,-0.66569,-0.51663,-0.03549,-0.07869,-0.14906
28.35378,-0.54405,-0.50865,-0.59031,-0.5117,-0.66527,-0.51648,-0.0354,-0.07861,-0.14879
28.56262,-0.54381,-0.50844,-0.59001,-0.51149,-0.66488,-0.51633,-0.03537,-0.07852,-0.14855
28.77112,-0.54359,-0.50824,-0.58973,-0.51127,-0.66451,-0.51617,-0.03535,-0.07846,-0.14834
28.97864,-0.54334,-0.50808,-0.58946,-0.51102,-0.66411,-0.516,-0.03526,-0.07844,-0.14811
29.1878,-0.54312,-0.50787,-0.58917,-0.5108,-0.66373,-0.51585,-0.03525,-0.07837,-0.14788
29.39662,-0.54288,-0.5077,-0.58891,-0.51059,-0.66333,-0.51566,-0.03518,-0.07832,-0.14767
29.60481,-0.54263,-0.50753,-0.58864,-0.51041,-0.66292,-0.51548,-0.0351,-0.07823,-0.14744
29.81446,-0.5424,-0.50736,-0.58837,-0.51019,-0.66253,-0.51531,-0.03504,-0.07818,-0.14722
30.02368,-0.54217,-0.50719,-0.58812,-0.50999,-0.66217,-0.51514,-0.03498,-0.07813,-0.14703
30.22931,-0.54194,-0.50701,-0.58785,-0.50982,-0.66179,-0.515,-0.03493,-0.07803,-0.14679
30.43198,-0.5417,-0.50685,-0.58758,-0.5096,-0.66137,-0.51484,-0.03485,-0.07798,-0.14653
30.64025,-0.54148,-0.50668,-0.58731,-0.5094,-0.66099,-0.51468,-0.0348,-0.07791,-0.14631
30.84953,-0.54124,-0.50649,-0.58705,-0.5092,-0.6606,-0.51451,-0.03475,-0.07785,-0.14609
31.05934,-0.541,-0.50632,-0.58678,-0.50901,-0.66022,-0.51436,-0.03468,-0.07777,-0.14586
31.26765,-0.54076,-0.50615,-0.58652,-0.50882,-0.65984,-0.51421,-0.03461,-0.0777,-0.14563
31.47695,-0.54052,-0.50596,-0.58626,-0.50861,-0.65946,-0.51402,-0.03456,-0.07765,-0.14544
31.68506,-0.54028,-0.50578,-0.58596,-0.50841,-0.65908,-0.51387,-0.0345,-0.07755,-0.14521
31.89308,-0.54005,-0.5056,-0.58567,-0.50822,-0.65871,-0.5137,-0.03445,-0.07745,-0.14501
32.10283,-0.53984,-0.50544,-0.58546,-0.50803,-0.65835,-0.51357,-0.0344,-0.07743,-0.14478
32.31197,-0.53961,-0.50526,-0.5852,-0.50783,-0.65796,-0.51342,-0.03435,-0.07737,-0.14454
32.5216,-0.53939,-0.50509,-0.58493,-0.50762,-0.65757,-0.51323,-0.0343,-0.07731,-0.14434
32.7307,-0.53917,-0.50493,-0.58469,-0.50743,-0.65722,-0.51308,-0.03424,-0.07726,-0.14414
32.93946,-0.53894,-0.50476,-0.5844,-0.50723,-0.65685,-0.51292,-0.03418,-0.07717,-0.14393
33.14752,-0.53869,-0.50459,-0.58416,-0.50706,-0.65653,-0.51276,-0.0341,-0.0771,-0.14377
33.35686,-0.53847,-0.50442,-0.5839,-0.50688,-0.65617,-0.51259,-0.03405,-0.07702,-0.14358
33.56594,-0.53824,-0.50428,-0.58365,-0.5067,-0.6558,-0.51244,-0.03396,-0.07695,-0.14336
33.77371,-0.53805,-0.50415,-0.58341,-0.50652,-0.65546,-0.51224,-0.0339,-0.07689,-0.14322
33.98272,-0.53785,-0.50395,-0.58317,-0.50634,-0.65509,-0.51208,-0.0339,-0.07683,-0.14301
34.18706,-0.53763,-0.50379,-0.58293,-0.50613,-0.65474,-0.51188,-0.03384,-0.0768,-0.14286
34.39285,-0.53741,-0.50363,-0.58268,-0.50594,-0.65439,-0.51173,-0.03378,-0.07674,-0.14266
34.60103,-0.53719,-0.5035,-0.58242,-0.50575,-0.65402,-0.51155,-0.03369,-0.07667,-0.14247
34.8099,-0.53696,-0.50336,-0.58217,-0.50555,-0.65368,-0.51135,-0.0336,-0.07662,-0.14233
35.01942,-0.53676,-0.50319,-0.58193,-0.50538,-0.65334,-0.51116,-0.03357,-0.07655,-0.14218
35.22887,-0.53655,-0.503,-0.58167,-0.50517,-0.65298,-0.51098,-0.03355,-0.0765,-0.142
35.43762,-0.53632,-0.50282,-0.58143,-0.50498,-0.65262,-0.51078,-0.0335,-0.07645,-0.14184
35.64676,-0.53613,-0.50265,-0.5812,-0.50484,-0.65227,-0.51064,-0.03348,-0.07636,-0.14163
35.85519,-0.53591,-0.50248,-0.58094,-0.50467,-0.6519,-0.51043,-0.03343,-0.07627,-0.14147
36.06467,-0.53571,-0.50232,-0.58067,-0.50449,-0.65154,-0.51024,-0.03339,-0.07618,-0.1413
36.27523,-0.53551,-0.50216,-0.58044,-0.5043,-0.65119,-0.51008,-0.03335,-0.07614,-0.14111
36.48287,-0.53531,-0.50198,-0.58017,-0.5041,-0.65081,-0.50991,-0.03333,-0.07607,-0.1409
36.69087,-0.5351,-0.50184,-0.57991,-0.50393,-0.65045,-0.50972,-0.03326,-0.07598,-0.14073
36.9001,-0.53486,-0.50168,-0.57965,-0.50372,-0.65008,-0.50954,-0.03318,-0.07593,-0.14054
37.10911,-0.53463,-0.5015,-0.57941,-0.50354,-0.64967,-0.50934,-0.03313,-0.07587,-0.14033
37.31728,-0.53441,-0.50133,-0.57914,-0.50332,-0.6493,-0.50915,-0.03308,-0.07582,-0.14015
37.525,-0.53419,-0.50112,-0.57886,-0.50313,-0.64892,-0.50898,-0.03307,-0.07573,-0.13994
37.73457,-0.53395,-0.50093,-0.57859,-0.50289,-0.64851,-0.5088,-0.03302,-0.0757,-0.13971
37.94307,-0.53371,-0.50078,-0.57831,-0.50263,-0.64812,-0.50864,-0.03293,-0.07568,-0.13948
38.14674,-0.53348,-0.50059,-0.57805,-0.50241,-0.64769,-0.50847,-0.03289,-0.07564,-0.13922
38.35427,-0.53325,-0.50039,-0.57776,-0.50218,-0.64731,-0.50826,-0.03286,-0.07558,-0.13905
38.56351,-0.53303,-0.50024,-0.57748,-0.50196,-0.64695,-0.50807,-0.03279,-0.07552,-0.13888
38.77112,-0.53281,-0.50004,-0.57721,-0.50176,-0.64655,-0.50791,-0.03277,-0.07545,-0.13864
38.98079,-0.53256,-0.49987,-0.57693,-0.50153,-0.6462,-0.5077,-0.03269,-0.0754,-0.1385
39.19075,-0.53231,-0.49967,-0.57665,-0.50129,-0.64581,-0.50748,-0.03264,-0.07536,-0.13833
39.39998,-0.53207,-0.49946,-0.57636,-0.50108,-0.64542,-0.50727,-0.03261,-0.07528,-0.13815
39.60744,-0.53182,-0.49925,-0.57604,-0.50087,-0.64504,-0.50704,-0.03257,-0.07517,-0.138
39.81543,-0.53155,-0.49906,-0.57574,-0.50063,-0.64464,-0.50683,-0.03249,-0.07511,-0.13781
40.02448,-0.53133,-0.49889,-0.57546,-0.50043,-0.64424,-0.50661,-0.03244,-0.07503,-0.13763
40.23421,-0.53107,-0.49868,-0.57514,-0.50024,-0.64387,-0.50638,-0.03239,-0.0749,-0.13749
40.44195,-0.53084,-0.49847,-0.57484,-0.50005,-0.6435,-0.50614,-0.03237,-0.07479,-0.13736
40.64981,-0.53061,-0.49826,-0.57451,-0.49985,-0.64311,-0.50592,-0.03235,-0.07466,-0.13719
40.85869,-0.53035,-0.49805,-0.5742,-0.49966,-0.64276,-0.50567,-0.0323,-0.07454,-0.13709
41.0677,-0.53007,-0.49785,-0.57389,-0.49945,-0.64238,-0.50543,-0.03222,-0.07444,-0.13695
41.27633,-0.5298,-0.49764,-0.57356,-0.49927,-0.642,-0.50518,-0.03216,-0.07429,-0.13682
