Temp,scan1(subtrac buffer),scan2,scan3
11.86839,-0.04405,-0.08539,-0.16075
12.07615,-0.04237,-0.08776,-0.16166
12.28463,-0.04162,-0.08865,-0.16199
12.49455,-0.04123,-0.08897,-0.16204
12.70568,-0.04099,-0.08903,-0.16193
12.91664,-0.04087,-0.08898,-0.16175
13.1224,-0.04079,-0.08883,-0.16162
13.33168,-0.0407,-0.08872,-0.16143
13.54134,-0.04066,-0.08851,-0.16123
13.75142,-0.04056,-0.08837,-0.16105
13.96065,-0.04046,-0.08824,-0.16087
14.17075,-0.04043,-0.08802,-0.16071
14.38293,-0.04036,-0.08787,-0.16059
14.59333,-0.04023,-0.08771,-0.16042
14.80052,-0.04015,-0.08752,-0.16024
15.00848,-0.04005,-0.08736,-0.16006
15.21561,-0.03995,-0.08721,-0.15991
15.42305,-0.03989,-0.08703,-0.15973
15.63138,-0.03978,-0.08693,-0.15958
15.83979,-0.03974,-0.08673,-0.1594
16.04845,-0.03967,-0.0866,-0.15928
16.25611,-0.03955,-0.08651,-0.15912
16.46388,-0.03942,-0.08637,-0.15893
16.67309,-0.03926,-0.08624,-0.15875
16.88259,-0.03918,-0.08611,-0.15858
17.0905,-0.03909,-0.08599,-0.15847
17.30016,-0.03898,-0.08585,-0.15835
17.50856,-0.03889,-0.08572,-0.15816
17.71823,-0.03874,-0.08558,-0.15802
17.9268,-0.03871,-0.08538,-0.15785
18.13575,-0.03861,-0.0852,-0.15772
18.34481,-0.03853,-0.08507,-0.15755
18.55069,-0.03842,-0.08492,-0.15739
18.75569,-0.03834,-0.08477,-0.15723
18.96409,-0.0383,-0.08456,-0.15708
19.17358,-0.0382,-0.08445,-0.1569
19.38267,-0.03817,-0.08426,-0.15671
19.59252,-0.03808,-0.08413,-0.15657
19.80191,-0.03802,-0.08392,-0.15639
20.01051,-0.03794,-0.08379,-0.15625
20.21845,-0.03787,-0.08367,-0.15605
20.42673,-0.0378,-0.08349,-0.15591
20.63703,-0.03772,-0.08335,-0.15576
20.84615,-0.03771,-0.0832,-0.15558
21.05666,-0.03758,-0.08305,-0.1554
21.26702,-0.03751,-0.08286,-0.15521
21.47415,-0.03739,-0.08276,-0.15504
21.68362,-0.03736,-0.08255,-0.15487
21.8919,-0.03727,-0.08241,-0.15475
22.10212,-0.0372,-0.08227,-0.1546
22.31131,-0.03714,-0.08215,-0.15444
22.51583,-0.03706,-0.08199,-0.1543
22.72369,-0.03699,-0.0819,-0.15415
22.93191,-0.03695,-0.08174,-0.15396
23.14024,-0.03683,-0.08161,-0.15378
23.34852,-0.03681,-0.08147,-0.15359
23.55852,-0.03673,-0.08133,-0.15347
23.76647,-0.03671,-0.08113,-0.15332
23.97469,-0.03662,-0.08098,-0.15316
24.1848,-0.03658,-0.08079,-0.15301
