Temp,scan1(subtrac baseline),scan2(subtrac baseline),scan3(subtrac baseline)
11.86839,-1.62E-04,0.00352,0.00163
12.07615,5.42E-04,0.00102,5.70E-04
12.28463,3.98E-04,2.61E-06,8.77E-05
12.49455,8.48E-05,-4.62E-04,-1.16E-04
12.70568,-8.25E-05,-6.68E-04,-1.61E-04
12.91664,-1.09E-04,-7.63E-04,-1.35E-04
13.1224,-3.94E-05,-7.54E-04,-1.56E-04
13.33168,5.92E-05,-7.88E-04,-1.20E-04
13.54134,8.06E-05,-7.21E-04,-7.36E-05
13.75142,1.37E-04,-7.25E-04,-4.79E-05
13.96065,1.72E-04,-7.37E-04,-2.19E-05
14.17075,1.18E-04,-6.60E-04,-1.66E-05
14.38293,8.85E-05,-6.54E-04,-5.31E-05
14.59333,1.08E-04,-6.36E-04,-3.86E-05
14.80052,7.16E-05,-5.86E-04,-1.20E-05
15.00848,5.00E-05,-5.66E-04,1.38E-05
15.21561,2.76E-05,-5.55E-04,9.87E-06
15.42305,-3.32E-05,-5.14E-04,3.53E-05
15.63138,-4.12E-05,-5.53E-04,2.98E-05
15.83979,-1.16E-04,-4.91E-04,5.38E-05
16.04845,-1.58E-04,-5.00E-04,1.71E-05
16.25611,-1.46E-04,-5.47E-04,2.08E-05
16.46388,-1.21E-04,-5.44E-04,5.38E-05
16.67309,-6.42E-05,-5.51E-04,7.53E-05
16.88259,-8.47E-05,-5.59E-04,8.61E-05
17.0905,-9.17E-05,-5.74E-04,3.75E-05
17.30016,-7.69E-05,-5.71E-04,-3.09E-06
17.50856,-7.91E-05,-5.76E-04,2.67E-05
17.71823,-1.94E-05,-5.71E-04,4.90E-06
17.9268,-7.71E-05,-5.05E-04,1.33E-05
18.13575,-6.27E-05,-4.59E-04,-1.93E-05
18.34481,-6.62E-05,-4.62E-04,-1.28E-05
18.55069,-3.66E-05,-4.43E-04,-1.44E-05
18.75569,-3.48E-05,-4.23E-04,-1.62E-05
18.96409,-7.26E-05,-3.44E-04,-3.13E-05
19.17358,-4.91E-05,-3.65E-04,-1.82E-05
19.38267,-9.39E-05,-3.06E-04,4.36E-06
19.59252,-7.74E-05,-3.06E-04,-2.45E-05
19.80191,-8.95E-05,-2.26E-04,-1.39E-05
20.01051,-8.00E-05,-2.24E-04,-4.35E-05
20.21845,-7.91E-05,-2.31E-04,-1.35E-05
20.42673,-7.73E-05,-1.78E-04,-4.45E-05
20.63703,-6.52E-05,-1.66E-04,-6.81E-05
20.84615,-1.22E-04,-1.42E-04,-6.16E-05
21.05666,-5.81E-05,-1.18E-04,-5.71E-05
21.26702,-5.37E-05,-5.35E-05,-4.33E-05
21.47415,2.20E-06,-7.63E-05,-4.76E-05
21.68362,-3.21E-05,1.02E-05,-5.48E-05
21.8919,-5.74E-06,2.81E-05,-1.12E-04
22.10212,3.05E-07,4.56E-05,-1.41E-04
22.31131,-3.17E-06,4.45E-05,-1.61E-04
22.51583,1.49E-05,8.68E-05,-1.97E-04
22.72369,2.21E-05,5.80E-05,-2.27E-04
22.93191,-5.73E-07,9.97E-05,-2.18E-04
23.14024,5.68E-05,1.12E-04,-2.20E-04
23.34852,1.44E-05,1.35E-04,-2.13E-04
23.55852,3.17E-05,1.58E-04,-2.78E-04
23.76647,-1.03E-05,2.43E-04,-3.12E-04
23.97469,1.78E-05,2.79E-04,-3.37E-04
24.1848,-4.51E-06,3.55E-04,-3.74E-04
24.39417,2.36E-05,3.72E-04,-4.02E-04
24.60302,1.20E-05,3.90E-04,-4.10E-04
24.81129,4.08E-05,4.19E-04,-4.09E-04
25.01997,9.71E-06,4.38E-04,-4.08E-04
25.2274,1.91E-05,4.60E-04,-4.17E-04
25.43707,2.81E-05,4.61E-04,-4.09E-04
25.64672,2.72E-05,4.53E-04,-4.02E-04
25.85541,6.83E-06,4.86E-04,-3.75E-04
26.06296,3.70E-05,4.81E-04,-3.67E-04
26.26964,-2.45E-06,5.08E-04,-3.40E-04
26.474,9.00E-06,5.16E-04,-3.31E-04
26.68166,-2.95E-07,5.04E-04,-3.05E-04
26.89005,-9.59E-06,4.82E-04,-2.52E-04
