Temp,RAWCP(Data1),RAWCP(Data3),RAWCP(Data5)
11.86743,-0.51021,-0.6448,-0.79108
12.07398,-0.51314,-0.64781,-0.79426
12.28139,-0.51433,-0.64901,-0.79544
12.48994,-0.51479,-0.64938,-0.79563
12.6986,-0.51487,-0.64936,-0.79543
12.9087,-0.51482,-0.64919,-0.79505
13.11729,-0.51471,-0.64896,-0.79465
13.32663,-0.51455,-0.64865,-0.79419
13.53496,-0.51443,-0.64836,-0.79372
13.7443,-0.51427,-0.64807,-0.79324
13.95361,-0.51406,-0.64774,-0.79271
14.16026,-0.51393,-0.64745,-0.79222
14.36715,-0.51381,-0.64717,-0.79174
14.5753,-0.5136,-0.6468,-0.79124
14.78138,-0.51343,-0.64649,-0.79074
14.9887,-0.51325,-0.64614,-0.79023
15.19682,-0.51303,-0.64577,-0.78968
15.4069,-0.51285,-0.64543,-0.78916
15.61748,-0.51264,-0.64504,-0.78859
15.8272,-0.51244,-0.64469,-0.78806
16.03699,-0.51224,-0.64433,-0.78755
16.24739,-0.51199,-0.64391,-0.78698
16.45651,-0.51177,-0.64351,-0.78644
16.66584,-0.51153,-0.64314,-0.78588
16.8758,-0.51128,-0.64276,-0.78529
17.0829,-0.51109,-0.64237,-0.78475
17.2918,-0.51085,-0.64197,-0.78417
17.50159,-0.51064,-0.64161,-0.78362
17.71091,-0.51038,-0.6412,-0.78307
17.91985,-0.51018,-0.64084,-0.78252
18.12949,-0.50997,-0.64045,-0.78197
18.33899,-0.50971,-0.64006,-0.7814
18.54574,-0.5095,-0.63968,-0.78084
18.74829,-0.50929,-0.63927,-0.78029
18.95809,-0.50909,-0.63893,-0.77974
19.16803,-0.50884,-0.63853,-0.77916
19.37768,-0.50861,-0.63817,-0.77863
19.58754,-0.50839,-0.63779,-0.77806
19.79643,-0.50815,-0.6374,-0.77751
20.00421,-0.50794,-0.63704,-0.77698
20.21351,-0.50769,-0.63663,-0.77639
20.42341,-0.50747,-0.63626,-0.77586
20.63253,-0.50722,-0.63584,-0.77528
20.84041,-0.50702,-0.63548,-0.77476
21.04977,-0.5068,-0.63509,-0.7742
21.26045,-0.50656,-0.63473,-0.7737
21.47039,-0.50633,-0.63432,-0.77313
21.67807,-0.50613,-0.63395,-0.7726
21.8856,-0.50592,-0.63358,-0.77206
22.09382,-0.50572,-0.6332,-0.77156
22.30199,-0.5055,-0.63282,-0.77105
22.50791,-0.50532,-0.63245,-0.77054
22.71424,-0.50512,-0.63211,-0.77003
22.92252,-0.50492,-0.63177,-0.76952
23.1318,-0.50472,-0.63141,-0.76898
23.34074,-0.50451,-0.63106,-0.76844
23.54874,-0.50429,-0.6307,-0.76794
23.75746,-0.5041,-0.63035,-0.76742
23.96563,-0.50389,-0.63,-0.76692
24.17433,-0.50368,-0.62964,-0.7664
24.38366,-0.50349,-0.62927,-0.76587
24.59313,-0.5033,-0.62894,-0.76534
24.80254,-0.50311,-0.62857,-0.76482
25.01,-0.50293,-0.6282,-0.76433
25.21774,-0.5027,-0.62785,-0.76382
25.42712,-0.50252,-0.62749,-0.7633
25.63488,-0.50231,-0.62713,-0.7628
25.84246,-0.50215,-0.6268,-0.76233
26.05204,-0.50196,-0.62644,-0.76185
26.26033,-0.50179,-0.62612,-0.76139
26.46418,-0.50159,-0.62576,-0.76092
26.67322,-0.50143,-0.62545,-0.76046
26.88174,-0.50125,-0.62512,-0.75997
27.09004,-0.50109,-0.6248,-0.75949
27.29875,-0.5009,-0.62449,-0.75902
27.50846,-0.5007,-0.62415,-0.75855
27.71747,-0.50054,-0.62384,-0.7581
27.92516,-0.50038,-0.62353,-0.7576
28.1337,-0.50025,-0.62325,-0.75717
28.34177,-0.5001,-0.62292,-0.75669
28.55079,-0.49993,-0.6226,-0.75625
28.75914,-0.49982,-0.6223,-0.7558
28.96831,-0.49966,-0.62198,-0.75533
29.17718,-0.49951,-0.6217,-0.75487
29.38531,-0.49937,-0.6214,-0.75439
29.59537,-0.49925,-0.6211,-0.75395
29.80335,-0.4991,-0.62079,-0.7535
30.01087,-0.49894,-0.62049,-0.75305
30.21724,-0.49883,-0.62021,-0.75262
30.42059,-0.49867,-0.61988,-0.75217
30.62765,-0.49853,-0.61959,-0.75175
30.83615,-0.49837,-0.61928,-0.7513
31.04607,-0.49823,-0.61898,-0.75086
31.25508,-0.49809,-0.61867,-0.75043
31.46533,-0.49796,-0.61837,-0.74995
31.67435,-0.49782,-0.61809,-0.74955
31.88248,-0.49766,-0.61779,-0.74909
32.09106,-0.49752,-0.6175,-0.74865
32.30012,-0.49738,-0.6172,-0.74823
32.50951,-0.49724,-0.61689,-0.74779
32.717,-0.49711,-0.61661,-0.74737
32.92518,-0.49697,-0.61631,-0.74693
33.13532,-0.49681,-0.61603,-0.7465
33.34513,-0.49669,-0.61577,-0.74607
33.55293,-0.49654,-0.61547,-0.74563
33.7615,-0.49641,-0.61518,-0.74522
