temp,mab696 Data1 subtract,mab696 Data3 subtract,mab696 Data5 subtract
27.93651,0,0,0
28.35141,5.03E-04,-2.13E-04,-3.97E-04
28.76779,6.86E-04,-2.48E-04,-5.86E-04
29.18146,7.24E-04,-2.42E-04,-6.23E-04
29.59547,6.77E-04,-2.08E-04,-5.92E-04
30.00933,6.06E-04,-1.86E-04,-5.72E-04
30.42035,4.84E-04,-1.56E-04,-5.02E-04
30.83239,3.81E-04,-1.48E-04,-4.14E-04
31.24933,2.86E-04,-1.36E-04,-3.14E-04
31.66455,2.15E-04,-7.63E-05,-2.15E-04
32.07981,8.76E-05,-6.15E-05,-1.69E-04
32.49664,4.53E-05,-4.21E-05,-1.18E-04
32.91425,0,-2.83E-05,-5.22E-05
33.33095,-4.66E-05,0,0
33.74657,-3.58E-05,-1.73E-05,3.84E-05
34.16082,-7.99E-05,-2.97E-05,8.34E-05
34.57478,-1.01E-04,-7.07E-06,9.42E-05
34.99348,-1.32E-04,8.63E-06,8.62E-05
35.41228,-1.35E-04,-9.86E-06,7.38E-05
35.82956,-1.70E-04,-3.11E-05,8.88E-05
36.24801,-1.40E-04,-6.03E-06,8.88E-05
36.66444,-1.17E-04,1.77E-05,1.07E-04
37.0813,-8.29E-05,-2.07E-05,1.11E-04
37.49869,-4.00E-05,9.31E-06,1.02E-04
37.91534,0,-1.11E-05,9.95E-05
38.32923,5.93E-06,-2.02E-05,4.71E-05
38.74495,-1.31E-05,0,0
39.16148,-2.66E-05,-2.95E-05,-3.07E-05
39.57798,5.92E-06,-4.82E-05,-3.39E-05
39.99539,-6.53E-05,-3.69E-05,-6.04E-05
40.4128,-7.97E-05,-1.53E-05,-5.92E-05
40.83066,-7.70E-05,1.62E-05,-1.05E-05
41.24877,-6.68E-05,3.77E-05,3.61E-05
41.66649,-4.87E-05,4.91E-05,5.13E-05
42.07654,-5.01E-05,4.41E-05,6.32E-05
42.4908,-3.40E-05,6.39E-06,6.92E-05
42.90913,0,2.58E-05,6.97E-05
43.3263,5.37E-05,5.49E-05,4.04E-05
43.74169,7.35E-06,1.39E-05,1.22E-05
44.16005,1.98E-05,0,0
44.57733,2.22E-05,-4.70E-06,-1.15E-05
44.99528,4.41E-05,-2.10E-05,-4.41E-05
45.41329,2.59E-05,-1.84E-05,-7.70E-05
45.83083,5.78E-05,1.36E-05,-5.93E-05
46.24613,1.60E-04,4.63E-05,-1.90E-05
46.66381,1.62E-04,2.72E-05,-3.10E-05
47.08215,1.54E-04,7.75E-05,-1.33E-04
47.49792,3.75E-05,1.93E-05,-5.19E-05
47.9173,0,-1.07E-05,-3.37E-05
48.33499,-1.66E-05,-3.93E-05,-2.61E-06
48.75234,1.70E-05,-4.72E-05,-2.99E-05
49.17052,2.13E-07,-1.46E-05,3.21E-06
49.58675,-3.65E-05,0,0
49.99932,-4.31E-05,1.77E-05,3.20E-05
50.41539,-4.18E-05,1.41E-05,6.99E-05
50.83251,-5.23E-05,-2.01E-05,1.04E-04
51.24931,-4.46E-05,1.51E-05,1.14E-04
51.6668,-2.93E-05,3.85E-05,9.62E-05
52.08509,-2.68E-05,1.94E-05,8.84E-05
52.50219,3.27E-06,4.82E-05,1.21E-04
52.91968,0,3.33E-05,9.95E-05
53.33562,-3.62E-05,-4.76E-06,6.45E-05
53.74993,-2.54E-05,1.34E-05,6.41E-05
54.16563,-1.83E-05,5.40E-06,6.23E-05
54.58092,-3.45E-05,2.16E-05,3.93E-05
54.99794,-1.46E-05,0,0
55.41518,2.21E-05,-9.26E-06,-3.54E-05
55.8343,-3.52E-05,-8.52E-06,-3.91E-05
56.25228,-4.52E-05,1.29E-05,-9.56E-05
56.66671,-6.68E-05,-2.45E-05,-2.10E-04
57.08408,-5.26E-05,-1.66E-05,-3.22E-04
57.49905,-1.03E-05,-4.08E-05,-3.61E-04
57.91179,0,-6.81E-05,-4.07E-04
58.32747,-1.37E-05,-7.43E-05,-4.39E-04
58.7456,3.89E-05,-8.04E-05,-4.74E-04
59.16228,3.93E-05,-7.44E-05,-4.75E-04
59.5813,2.61E-05,-5.11E-05,-3.88E-04
60.00083,1.10E-04,-4.05E-07,-2.59E-04
60.41769,1.83E-04,0,0
60.83361,3.43E-04,1.28E-04,3.16E-04
61.24894,4.61E-04,2.73E-04,7.68E-04
61.66322,6.38E-04,3.77E-04,0.00145
62.07812,8.42E-04,6.10E-04,0.0023
62.49409,0.00105,9.71E-04,0.00345
62.9119,0.00137,0.0015,0.00486
63.33016,0.00174,0.00215,0.00663
63.7493,0.00218,0.00302,0.00892
64.16628,0.00277,0.00416,0.01172
64.58213,0.00349,0.00554,0.01521
65.00056,0.00434,0.0072,0.01944
65.41691,0.00533,0.00926,0.02446
65.82792,0.0065,0.01182,0.03041
66.24498,0.00795,0.01483,0.03727
66.66325,0.00953,0.01832,0.04532
67.0812,0.01143,0.02246,0.05479
67.4972,0.01371,0.02731,0.06575
67.91461,0.01641,0.03299,0.07845
68.33245,0.01954,0.03962,0.09323
68.74892,0.02308,0.04733,0.11038
69.16542,0.02726,0.0563,0.13005
69.57752,0.03201,0.06666,0.15255
69.99383,0.03748,0.07848,0.17841
70.41316,0.04379,0.09239,0.20905
70.83025,0.05114,0.10939,0.24664
71.24766,0.06007,0.13061,0.29404
71.66355,0.071,0.15716,0.35365
72.08116,0.08387,0.18888,0.42461
72.49849,0.09774,0.22299,0.49925
72.91616,0.11038,0.25294,0.56092
73.33018,0.11819,0.26932,0.58756
73.74308,0.11778,0.26414,0.56411
74.16192,0.10824,0.23709,0.49727
74.57934,0.09245,0.19797,0.41348
74.99504,0.07559,0.15975,0.33898
75.41315,0.06123,0.12962,0.28369
75.8306,0.05025,0.10754,0.24366
76.24849,0.04181,0.09054,0.21207
76.66576,0.03508,0.07624,0.18455
77.0821,0.02933,0.06379,0.15984
77.49981,0.02445,0.05304,0.13794
77.91485,0.02044,0.0441,0.1194
78.33136,0.01732,0.03695,0.10436
78.74978,0.01519,0.03168,0.09292
79.16804,0.01381,0.0282,0.08493
79.58124,0.01314,0.02626,0.08001
79.99772,0.01299,0.02561,0.07771
80.41757,0.01324,0.02606,0.07739
80.8333,0.01377,0.02724,0.079
81.2453,0.01463,0.0291,0.08203
81.65703,0.01567,0.0313,0.08597
82.07237,0.01679,0.03368,0.09033
82.48961,0.01779,0.03594,0.09437
82.90872,0.01856,0.03773,0.09731
83.32677,0.01891,0.03861,0.09839
83.74431,0.01876,0.03827,0.0968
84.16216,0.01801,0.03647,0.092
84.57831,0.01657,0.03319,0.084
84.99467,0.01451,0.02856,0.07305
85.40538,0.01201,0.02287,0.05993
85.82288,0.00932,0.01687,0.04598
86.23905,0.00666,0.01125,0.0327
86.65476,0.00438,0.00653,0.02131
87.07398,0.00251,0.00293,0.01252
87.4924,0.0012,6.96E-04,0.00636
87.91198,3.46E-04,-4.62E-04,0.00251
88.32585,-1.17E-04,-7.70E-04,3.13E-04
88.74246,-2.43E-04,-6.68E-04,-6.52E-04
89.16055,-3.15E-04,-3.42E-04,-9.81E-04
89.57346,-3.05E-04,-5.40E-05,-9.77E-04
89.98784,-2.81E-04,1.05E-04,-7.98E-04
90.40267,-1.80E-04,1.26E-04,-5.59E-04
90.82042,-7.67E-05,2.95E-05,-2.95E-04
91.23555,1.61E-05,-5.98E-05,-7.71E-05
91.65376,9.15E-05,-8.76E-05,3.14E-05
92.07169,1.06E-04,-1.03E-04,5.75E-05
92.48752,1.16E-04,-1.79E-04,8.12E-05
92.90475,9.22E-05,-1.82E-04,7.27E-05
93.31773,9.58E-05,-1.65E-04,3.97E-05
93.73098,4.59E-05,-1.36E-04,6.66E-05
94.14909,1.13E-05,-3.46E-05,1.45E-05
94.56904,0,0,0
